technology,installed_capacity,price_per_mwh
Hydro,1.6900595372174962,110.18052910627509
Onshore Wind,5.143250599145088,236.95768784803136
Offshore Wind,3.0034536379456225,240.39864741816444
Wave,2.7789,196.99595004538625
