scenario,ON_WIND_PLANTS_RREH,OFF_WIND_PLANTS_RREH,SOLAR_PV_PLANTS_RREH,WAVE_PLANT_RREH,HYDRO_PLANT_03h_RREH,HYDRO_PLANT_03j_RREH,HYDRO_PLANT_05h_RREH,hydro_rreh,BATTERY_STORAGE_RREH_flow,BATTERY_STORAGE_RREH_stock,ELECTROLYSIS_PLANTS_RREH,price per mwh,total cost,total cost_rreh,total cost_be,demand in twh,other capacities
"['wind_onshore_constant', 'wind_onshore_diff']","[8.244897526548002, 8.370667674025752]","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","[0, 0]","[1.9945883389493928, 1.9378083280918172]","[17.43369679833021, 17.69963565449534]","[3.4246385935765136, 3.4997193031807803]","[246.0668306825872, 181.7088701179196]","[12303.341534141666, 9085.443505905067]","[12236.740207041208, 9031.980744418179]","[66.60132710045755, 53.46276148688831]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_CARRIERS_RREH', 0.1276559733539273), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051556288), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922685542), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922685542), ('METHANATION_PLANTS_RREH', 0.07589409922685542), ('WATER_STORAGE_RREH_stock', 399.24951718398506), ('WATER_STORAGE_RREH_flow', 0.3934225280641222), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 46.69584996275692), ('HYDROGEN_STORAGE_RREH_flow', 3.215609951667778), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287391484), ('DESALINATION_PLANTS_RREH', 1.2966609412505332), ('HVDC_RREH', 8.084681404357323), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240868), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)], [('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335387385), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051529232), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682361), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682361), ('METHANATION_PLANTS_RREH', 0.07589409922682361), ('WATER_STORAGE_RREH_stock', 371.9464716596535), ('WATER_STORAGE_RREH_flow', 0.3927548142434357), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 43.50251130490158), ('HYDROGEN_STORAGE_RREH_flow', 3.2530936539924244), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287380454), ('DESALINATION_PLANTS_RREH', 1.2966609412499581), ('HVDC_RREH', 8.215020918621578), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240868), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)]]"
"['wind_offshore_constant', 'wind_offshore_diff']","['NA', 'NA']","[4.723774636410183, 4.766443549236552]","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","[0, 0]","[0.9851716618731905, 0.9624467366269058]","[28.76972273237237, 28.794803253459595]","[3.7340348224108513, 3.738595330951716]","[259.1904924042695, 198.16006426488502]","[12959.524620226435, 9908.00321325416]","[12892.923293125978, 9854.540451767272]","[66.60132710045755, 53.46276148688831]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335387271), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051550115), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682314), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682314), ('METHANATION_PLANTS_RREH', 0.07589409922682314), ('WATER_STORAGE_RREH_stock', 262.86726451959737), ('WATER_STORAGE_RREH_flow', 0.3906709805745448), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 30.74470930022194), ('HYDROGEN_STORAGE_RREH_flow', 0.4635025597922598), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.2087087728737643), ('DESALINATION_PLANTS_RREH', 1.2966609412499093), ('HVDC_RREH', 4.643957980998041), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240868), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)], [('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335383105), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051941352), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922685746), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922685746), ('METHANATION_PLANTS_RREH', 0.07589409922685746), ('WATER_STORAGE_RREH_stock', 259.24259177344476), ('WATER_STORAGE_RREH_flow', 0.3906304226923539), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 30.320770968352935), ('HYDROGEN_STORAGE_RREH_flow', 0.4929749212313736), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.2087087728738619), ('DESALINATION_PLANTS_RREH', 1.2966609412504095), ('HVDC_RREH', 4.689093867314229), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240868), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)]]"
"['wave_constant', 'wave_diff']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","[4.2244, 4.2598]","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","[0, 0]","[0.22555961630381077, 0.22418296694872938]","[0.23521234520268275, 0.2337767827175333]","[3.239083925345076, 3.216707379418526]","[194.81948371017748, 153.38905926779918]","[9740.974185518617, 7669.45296339763]","[9674.372858418159, 7615.990201910741]","[66.60132710045755, 53.46276148688831]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335387335), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051550078), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682333), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682333), ('METHANATION_PLANTS_RREH', 0.07589409922682333), ('WATER_STORAGE_RREH_stock', 627.8807955716715), ('WATER_STORAGE_RREH_flow', 0.39507271780107667), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 73.43635035931007), ('HYDROGEN_STORAGE_RREH_flow', 3.0), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287389716), ('DESALINATION_PLANTS_RREH', 1.2966609412502355), ('HVDC_RREH', 4.206283277178095), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240866), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)], [('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335387327), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.57166705155007), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682329), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682329), ('METHANATION_PLANTS_RREH', 0.07589409922682329), ('WATER_STORAGE_RREH_stock', 620.5799890509796), ('WATER_STORAGE_RREH_flow', 0.3952717187037972), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 72.58245485934415), ('HYDROGEN_STORAGE_RREH_flow', 3.0), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287383718), ('DESALINATION_PLANTS_RREH', 1.296660941250147), ('HVDC_RREH', 4.241793848277646), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240866), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)]]"
"['hydro_constant', 'hydro_diff']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","[0.0, 0.0]","[1.2704686503312068, 0.7355605471688439]","[1.3170125095950798, 1.8519206047686156]","[2.587481159926287, 2.5874811519374594]","[3.2116411722066884e-08, 1.5879507494071869e-09]","[1.8668700776367093e-08, 7.759985994084732e-10]","[2.3831408140564414, 2.3831408098039737]","[109.15237248370318, 85.53587925924543]","[5457.618624190617, 4276.793962966549]","[5391.017296952777, 4223.331201328857]","[66.60132723784025, 53.4627616376916]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_CARRIERS_RREH', 0.1276559761944802), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667241088821), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.0763301329403115), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922652918), ('METHANATION_PLANTS_RREH', 0.07589409922652918), ('WATER_STORAGE_RREH_stock', 4.964821998060671e-05), ('WATER_STORAGE_RREH_flow', 4.745367433169238e-06), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 1.9977692417509856e-06), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 8.668571777321395e-08), ('HYDROGEN_STORAGE_RREH_stock', 7.677236324387845e-08), ('HYDROGEN_STORAGE_RREH_flow', 1.5883878524035226e-08), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287291575), ('DESALINATION_PLANTS_RREH', 1.2966609412444856), ('HVDC_RREH', 2.5874811656848395), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237152439128), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543950468488457), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)], [('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597344734467), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051986946), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07632557112788585), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682347), ('METHANATION_PLANTS_RREH', 0.07589409922682347), ('WATER_STORAGE_RREH_stock', 4.727092585675484e-06), ('WATER_STORAGE_RREH_flow', 6.271014202989323e-07), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 1.6072617645184232e-07), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 4.537824309418131e-09), ('HYDROGEN_STORAGE_RREH_stock', 4.010434912784847e-09), ('HYDROGEN_STORAGE_RREH_flow', 2.0935108414460873e-10), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287376124), ('DESALINATION_PLANTS_RREH', 1.2966609412514185), ('HVDC_RREH', 2.587481152137125), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049289444), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.0759350922789992), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)]]"
"['hydro_wind_constant', 'hydro_wind_diff']","[3.159567468625079, 2.8710820451968506]","[1.8686919212376198, 2.364423567113825]","['NA', 'NA']","['NA', 'NA']","[0.04, 0.04]","[0.099, 0.099]","[0.058, 0.058]","[0.197, 0.197]","[0.24313187793639546, 0.20218924805328956]","[2.098135514406164, 1.8393605833786861]","[3.489558265176446, 3.354793150446993]","[184.0172928798324, 135.38905102889436]","[9200.864644000823, 6769.452551451489]","[9134.263316900413, 6715.9897899646]","[66.60132710041039, 53.46276148688831]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335387663), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051550197), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682394), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682394), ('METHANATION_PLANTS_RREH', 0.07589409922682394), ('WATER_STORAGE_RREH_stock', 360.1685125896594), ('WATER_STORAGE_RREH_flow', 0.39284517920456785), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 42.124972227930805), ('HYDROGEN_STORAGE_RREH_flow', 0.900451515140008), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287383124), ('DESALINATION_PLANTS_RREH', 1.2966609412487338), ('HVDC_RREH', 4.984654541982882), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049205351), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)], [('LIQUEFIED_METHANE_CARRIERS_RREH', 0.1276559733538738), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051541885), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682361), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682361), ('METHANATION_PLANTS_RREH', 0.07589409922682361), ('WATER_STORAGE_RREH_stock', 291.5085159579062), ('WATER_STORAGE_RREH_flow', 0.39404368319072447), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 34.09456327077721), ('HYDROGEN_STORAGE_RREH_flow', 1.1730156143778312), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287384554), ('DESALINATION_PLANTS_RREH', 1.2966609412502146), ('HVDC_RREH', 5.21581284808863), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240868), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)]]"
"['combined_constant', 'combined_diff']","[1.4875650264621474, 1.7749667416728951]","[0.6292159363320059, 1.199592303899927]","['NA', 'NA']","[2.242, 1.5575999999999999]","[0.04, 0.04]","[0.099, 0.099]","[0.058, 0.058]","[0.197, 0.197]","[0.0, 0.0]","[0.0, 0.0]","[2.992380805088119, 3.0584350452387215]","[170.75319493640805, 129.54454664336595]","[8537.659746828942, 6477.227332174775]","[8471.058419728484, 6423.764570687887]","[66.60132710045755, 53.46276148688831]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335387563), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051550008), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682296), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682296), ('METHANATION_PLANTS_RREH', 0.07589409922682296), ('WATER_STORAGE_RREH_stock', 374.32125923714887), ('WATER_STORAGE_RREH_flow', 0.391896268233979), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 43.78026424021979), ('HYDROGEN_STORAGE_RREH_flow', 3.0), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.2087087728737632), ('DESALINATION_PLANTS_RREH', 1.2966609412500618), ('HVDC_RREH', 4.35878095068983), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240866), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)], [('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335387335), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051549602), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682328), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682328), ('METHANATION_PLANTS_RREH', 0.07589409922682328), ('WATER_STORAGE_RREH_stock', 344.11743072410343), ('WATER_STORAGE_RREH_flow', 0.3940019790007238), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 40.24765271575813), ('HYDROGEN_STORAGE_RREH_flow', 3.0), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287386244), ('DESALINATION_PLANTS_RREH', 1.2966609412501908), ('HVDC_RREH', 4.5321589398624065), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240866), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256)]]"
"['spain_constant', 'spain_diff']","[5.356526250032841, 6.2593553515211]","['NA', 'NA']","[8.057743238831563, 6.868818898906065]","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","[0, 0]","[0.6280171882049417, 0.4081414361060289]","[1.3491611939432293, 0.777587363991895]","[4.5242332262938465, 4.089341881521301]","[204.2837978519733, 171.4512611335169]","[10214.189892608882, 8572.56305668442]","[10147.58856550842, 8519.100295197522]","[66.60132710046213, 53.46276148689687]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049244308), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_CARRIERS_RREH', 0.1271596521505932), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.513882781098587), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07559313948488848), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07559313948488848), ('METHANATION_PLANTS_RREH', 0.07559313948488848), ('WATER_STORAGE_RREH_stock', 152.73195209289193), ('WATER_STORAGE_RREH_flow', 0.38250761524568344), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 17.863386210161206), ('HYDROGEN_STORAGE_RREH_flow', 3.750667323776764), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20788113358341098), ('DESALINATION_PLANTS_RREH', 1.2915190033885664), ('HVDC_RREH', 9.146470696949608)], [('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.4842370492489), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12715965215059263), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.513882781098598), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07559313948488817), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07559313948488817), ('METHANATION_PLANTS_RREH', 0.07559313948488817), ('WATER_STORAGE_RREH_stock', 180.40888343801439), ('WATER_STORAGE_RREH_flow', 0.3858302343574742), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 21.100454204496774), ('HYDROGEN_STORAGE_RREH_flow', 3.976595918393576), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20788113358340352), ('DESALINATION_PLANTS_RREH', 1.2915190033877342), ('HVDC_RREH', 9.36078504504966)]]"
"['algeria_constant', 'algeria_diff']","[4.369500384894654, 4.245399978726025]","['NA', 'NA']","[2.8076927784880814, 2.996789151756648]","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","[0, 0]","[0.7998276974290287, 0.8273671335550352]","[2.932617599815245, 2.9855184350152326]","[3.2784712845404638, 3.320025104788144]","[157.72746036857876, 197.89011051099794]","[7886.373018436825, 9894.505525559793]","[7819.771691336033, 9841.042764072627]","[66.6013271007922, 53.46276148716605]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049492812), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335387305), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051550092), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922682315), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922682315), ('METHANATION_PLANTS_RREH', 0.07589409922682315), ('WATER_STORAGE_RREH_stock', 163.7858553604376), ('WATER_STORAGE_RREH_flow', 0.39472243496251447), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 19.156240393054627), ('HYDROGEN_STORAGE_RREH_flow', 3.3114638480458343), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.2087087728737494), ('DESALINATION_PLANTS_RREH', 1.2966609412496288), ('HVDC_RREH', 6.167689213801062)], [('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049501356), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12765597335390266), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.571667051553368), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07589409922684076), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07589409922684076), ('METHANATION_PLANTS_RREH', 0.07589409922684076), ('WATER_STORAGE_RREH_stock', 163.1369375060927), ('WATER_STORAGE_RREH_flow', 0.39435288517774075), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 19.0803435679806), ('HYDROGEN_STORAGE_RREH_flow', 2.6424438572224473), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20870877287384187), ('DESALINATION_PLANTS_RREH', 1.2966609412500893), ('HVDC_RREH', 6.203837625099065)]]"
"['germany_constant', 'germany_diff']","[8.084998158329501, 8.960549613564837]","['NA', 'NA']","[10.187171133560607, 9.79234253288214]","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","[0, 0]","[1.1723310657090444, 1.0582047384418953]","[3.59696991617463, 3.223006132660427]","[4.628914636384973, 4.362507791357097]","[267.8629710700795, 188.80219789238947]","[13393.14855351737, 9440.109894628915]","[13326.547226416913, 9386.647133142027]","[66.60132710045755, 53.46276148688831]","[50.00000000005001, 50.00000000005001]","[[('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240868), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_CARRIERS_RREH', 0.12700992076657838), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.496792582127235), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07550412803191288), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07550412803191288), ('METHANATION_PLANTS_RREH', 0.07550412803191288), ('WATER_STORAGE_RREH_stock', 354.6890612144137), ('WATER_STORAGE_RREH_flow', 0.4016239793787283), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 41.484100727544714), ('HYDROGEN_STORAGE_RREH_flow', 4.484722504262209), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.2076363520876985), ('DESALINATION_PLANTS_RREH', 1.2899982306848923), ('HVDC_RREH', 11.088933102146555)], [('LIQUEFIED_METHANE_REGASIFICATION', 0.07543873463146256), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_stock', 14.484237049240868), ('LIQUEFIED_METHANE_STORAGE_DESTINATION_flow', 0.07543873463146256), ('LIQUEFIED_METHANE_CARRIERS_RREH', 0.127009920766511), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_stock', 14.49679258212066), ('LIQUEFIED_METHANE_STORAGE_HUB_RREH_flow', 0.07550412803187838), ('METHANE_LIQUEFACTION_PLANTS_RREH', 0.07550412803187838), ('METHANATION_PLANTS_RREH', 0.07550412803187838), ('WATER_STORAGE_RREH_stock', 299.9709197098015), ('WATER_STORAGE_RREH_flow', 0.3829037522672275), ('CARBON_DIOXIDE_STORAGE_RREH_stock', 0.0), ('CARBON_DIOXIDE_STORAGE_RREH_flow', 0.0), ('HYDROGEN_STORAGE_RREH_stock', 35.08431809659792), ('HYDROGEN_STORAGE_RREH_flow', 5.141311818069902), ('DIRECT_AIR_CAPTURE_PLANTS_RREH', 0.20763635208760584), ('DESALINATION_PLANTS_RREH', 1.2899982306831486), ('HVDC_RREH', 11.707060550216967)]]"
['ammonia_constant'],[2.2018490811137506],[1.3132487080533262],['NA'],['NA'],[0.04],[0.099],[0.058],[0.197],[0.037073872544081656],[0.2843909330386374],[2.5958362479163872],[128.21865371974667],[6410.932692080898],[6262.746351215219],[148.1863408656791],[50.000000047524786],"[[('LIQUEFIED_NH3_REGASIFICATION_BE', 0.18637592040816325), ('LIQUEFIED_NH3_CARRIERS_RREH', 0.31630848974695513), ('LIQUEFIED_NH3_STORAGE_DESTINATION_BE_stock', 35.887973178909895), ('LIQUEFIED_NH3_STORAGE_DESTINATION_BE_flow', 0.18637592040816325), ('LIQUEFIED_NH3_STORAGE_HUB_RREH_stock', 35.87225549762477), ('LIQUEFIED_NH3_STORAGE_HUB_RREH_flow', 0.2032395080337148), ('NH3_PROD_RREH', 0.18898421948869162), ('NITROGEN_STORAGE_RREH_stock', 1.3251061467947154), ('NITROGEN_STORAGE_RREH_flow', 0.1266523814382832), ('ASU_RREH', 0.1584017303123834), ('WATER_STORAGE_RREH_stock', 258.9477695663815), ('WATER_STORAGE_RREH_flow', 0.28240355108825893), ('HYDROGEN_STORAGE_RREH_stock', 29.987392714651026), ('HYDROGEN_STORAGE_RREH_flow', 0.505677803468609), ('DESALINATION_PLANTS_RREH', 0.30548905131676435), ('HVDC_RREH', 3.5076387956491146)]]"
