scenario,wind_onshore_gr,wind_offshore_gr,wave_gr,hydro_3h_gr,hydro_3j_gr,hydro_5h_gr,battery_flow,battery_stock,Electrolysis,DAC,Methanation,price per mwh,total cost
"['wind_onshore_varwacc', 'wind_onshore_varwacc', 'wind_onshore_varwacc']","[5.143250599145088, 5.160069119836809, 5.16834244871342]","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","[1.208413858140782, 1.19455524023314, 1.196470512701464]","[10.87531668737027, 10.910879155126805, 10.92837296323943]","[2.092366955263338, 2.102407067420615, 2.1073459773197647]","[0.13632186335460836, 0.13632186337170005, 0.13632186339284819]","[0.049571586692978384, 0.04957158669440146, 0.04957158669293359]","[236.95768784803136, 198.72881280820644, 193.08809934263147]","[3073.4057045583313, 2577.566790475082, 2504.4052015841767]"
"['wind_offshore_varwacc', 'wind_offshore_varwacc', 'wind_offshore_varwacc']","['NA', 'NA', 'NA']","[3.0034536379456225, 3.0109226700980436, 3.0083232266023385]","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","[0.5422815827401016, 0.5436301276178191, 0.5431607895008959]","[12.914088699001077, 12.946203633311772, 12.935026685853313]","[2.42735532576313, 2.435823780002967, 2.4328765078964305]","[0.13632186340478047, 0.13632186340210384, 0.13632186340540492]","[0.04957158669376137, 0.04957158669295202, 0.04957158669292105]","[240.39864741816444, 204.56482282188782, 212.5864401678185]","[3118.0358867146665, 2653.2614287491147, 2757.3039889828156]"
"['wave_varwacc', 'wave_varwacc', 'wave_varwacc']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","[2.7789, 2.8969, 2.8969]","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","[0.14513418093081115, 0.1406744683187856, 0.1406744683187856]","[0.15134513715356868, 0.14669457301627375, 0.14669457301627375]","[2.199324343762634, 2.132422422889649, 2.132422422889649]","[0.13632186340548816, 0.13632186340546146, 0.13632186340546146]","[0.049571586692894326, 0.049571586692895075, 0.049571586692895075]","[196.99595004538625, 164.86653410439854, 164.86653410439854]","[2555.091088805154, 2138.363819333785, 2138.363819333785]"
"['hydro_varwacc', 'hydro_varwacc', 'hydro_varwacc']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","[0.0, 0.0, 0.0]","[1.3088074151565086, 1.3930249626864555, 1.2809497064602797]","[0.38125212206098774, 0.2970345801200041, 0.40910983179627425]","[1.848720877175162e-09, 1.28008245861788e-08, 3.923422116697076e-09]","[9.577730901748203e-10, 6.9352429996371335e-09, 2.122700128021874e-09]","[1.5565909922758383, 1.5565909950473558, 1.5565909928098924]","[0.13632186340595367, 0.13632186353567874, 0.1363218634057547]","[0.04957158669307224, 0.04957158674024531, 0.04957158669299677]","[110.18052910627509, 89.9099769541315, 89.69656891916785]","[1429.0714505268772, 1166.1568720435655, 1163.388911746466]"
"['combined_varwacc', 'combined_varwacc', 'combined_varwacc']","[2.4978224792497032, 2.4978225454972276, 2.692479710586599]","[-1.0285090188175481e-08, 0.0, 0.0]","[0.2478, 0.2478, 0.1003]","[0.04, 0.04, 0.04]","[0.099, 0.099, 0.099]","[0.058, 0.058, 0.058]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[2.5341547723793867, 2.5341547081491522, 2.5778272462300507]","[0.13632186340549607, 0.13632186340545888, 0.13632186340545951]","[0.04957158669289339, 0.049571586692894125, 0.049571586692894125]","[159.5797102706561, 133.34883224931457, 130.52671557053463]","[2069.7922752864797, 1729.5706480478316, 1692.9670266238493]"
