scenario,wind_onshore_gr,wind_offshore_gr,wave_gr,hydro_3h_gr,hydro_3j_gr,hydro_5h_gr,Battery Flow,Battery Stock,Electrolysis,DAC,Methanation,price per mwh,total cost
wind_onshore,5.143250599145088,NA,NA,NA,NA,NA,1.208413858140782,10.87531668737027,2.092366955263338,0.13632186335460836,0.049571586692978384,236.95768784803136,3073.4057045583313
wind_offshore,NA,3.0034536379456225,NA,NA,NA,NA,0.5422815827401016,12.914088699001077,2.42735532576313,0.13632186340478047,0.04957158669376137,240.39864741816444,3118.0358867146665
wave,NA,NA,2.7789,NA,NA,NA,0.14513418093081115,0.15134513715356868,2.199324343762634,0.13632186340548816,0.049571586692894326,196.99595004538625,2555.091088805154
hydro,NA,NA,NA,0.0,1.3088074151565086,0.38125212206098774,1.848720877175162e-09,9.577730901748203e-10,1.5565909922758383,0.13632186340595367,0.04957158669307224,110.18052910627509,1429.0714505268772
combined,2.4978224792497032,-1.0285090188175481e-08,0.2478,0.04,0.099,0.058,0.0,0.0,2.5341547723793867,0.13632186340549607,0.04957158669289339,159.5797102706561,2069.7922752864797
