YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,10m,50m,100m
2015,1,1,0,offshore2,-44.971313,59.883549,-45.015682,59.873451,14.22,16.37,17.26
2015,1,1,1,offshore2,-44.971313,59.883549,-45.015682,59.873451,13.16,15.12,15.95
2015,1,1,2,offshore2,-44.971313,59.883549,-45.015682,59.873451,12.86,14.73,15.50
2015,1,1,3,offshore2,-44.971313,59.883549,-45.015682,59.873451,12.22,13.93,14.62
2015,1,1,4,offshore2,-44.971313,59.883549,-45.015682,59.873451,11.86,13.48,14.11
2015,1,1,5,offshore2,-44.971313,59.883549,-45.015682,59.873451,11.34,12.82,13.39
2015,1,1,6,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.38,11.63,12.10
2015,1,1,7,offshore2,-44.971313,59.883549,-45.015682,59.873451,9.55,10.63,11.04
2015,1,1,8,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.98,9.93,10.28
2015,1,1,9,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.30,9.11,9.40
2015,1,1,10,offshore2,-44.971313,59.883549,-45.015682,59.873451,7.56,8.22,8.45
2015,1,1,11,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.57,7.04,7.21
2015,1,1,12,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.71,6.03,6.16
2015,1,1,13,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.67,5.99,6.12
2015,1,1,14,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.92,6.26,6.40
2015,1,1,15,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.98,6.33,6.47
2015,1,1,16,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.88,6.21,6.35
2015,1,1,17,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.64,5.96,6.08
2015,1,1,18,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.68,6.00,6.11
2015,1,1,19,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.83,6.18,6.31
2015,1,1,20,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.94,6.31,6.44
2015,1,1,21,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.92,6.27,6.40
2015,1,1,22,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.93,6.28,6.40
2015,1,1,23,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.99,6.35,6.47
2015,1,2,0,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.07,6.46,6.59
2015,1,2,1,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.18,6.62,6.78
2015,1,2,2,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.29,6.79,6.97
2015,1,2,3,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.51,7.05,7.26
2015,1,2,4,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.43,6.95,7.16
2015,1,2,5,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.22,6.71,6.90
2015,1,2,6,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.18,6.67,6.87
2015,1,2,7,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.31,6.80,6.99
2015,1,2,8,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.82,7.43,7.65
2015,1,2,9,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.06,11.37,11.91
2015,1,2,10,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.97,12.44,13.02
2015,1,2,11,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.20,11.48,12.00
2015,1,2,12,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.34,11.62,12.08
2015,1,2,13,offshore2,-44.971313,59.883549,-45.015682,59.873451,9.29,10.34,10.74
2015,1,2,14,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.49,9.32,9.61
2015,1,2,15,offshore2,-44.971313,59.883549,-45.015682,59.873451,7.91,8.57,8.79
2015,1,2,16,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.89,7.38,7.56
2015,1,2,17,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.31,6.70,6.85
2015,1,2,18,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.65,5.96,6.09
2015,1,2,19,offshore2,-44.971313,59.883549,-45.015682,59.873451,4.97,5.21,5.33
2015,1,2,20,offshore2,-44.971313,59.883549,-45.015682,59.873451,4.30,4.50,4.60
2015,1,2,21,offshore2,-44.971313,59.883549,-45.015682,59.873451,3.89,4.03,4.12
2015,1,2,22,offshore2,-44.971313,59.883549,-45.015682,59.873451,2.82,2.90,2.94
2015,1,2,23,offshore2,-44.971313,59.883549,-45.015682,59.873451,2.01,2.07,2.11
2015,1,3,0,offshore2,-44.971313,59.883549,-45.015682,59.873451,2.54,2.63,2.66
2015,1,3,1,offshore2,-44.971313,59.883549,-45.015682,59.873451,3.50,3.64,3.68
2015,1,3,2,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.25,5.64,5.69
2015,1,3,3,offshore2,-44.971313,59.883549,-45.015682,59.873451,7.41,8.21,8.37
2015,1,3,4,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.34,9.29,9.44
2015,1,3,5,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.70,9.80,9.76
2015,1,3,6,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.30,9.26,9.30
2015,1,3,7,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.66,7.38,7.66
2015,1,3,8,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.71,7.75,8.19
2015,1,3,9,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.98,7.00,7.61
2015,1,3,10,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.02,5.72,6.11
2015,1,3,11,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.86,6.71,7.11
2015,1,3,12,offshore2,-44.971313,59.883549,-45.015682,59.873451,7.17,8.26,8.89
2015,1,3,13,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.25,9.47,10.16
2015,1,3,14,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.52,9.83,10.65
2015,1,3,15,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.57,9.89,10.69
2015,1,3,16,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.69,10.03,10.79
2015,1,3,17,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.48,9.78,10.57
2015,1,3,18,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.57,9.86,10.74
2015,1,3,19,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.07,11.68,12.80
2015,1,3,20,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.97,12.78,14.15
2015,1,3,21,offshore2,-44.971313,59.883549,-45.015682,59.873451,11.52,13.38,14.60
2015,1,3,22,offshore2,-44.971313,59.883549,-45.015682,59.873451,12.31,14.31,15.44
2015,1,3,23,offshore2,-44.971313,59.883549,-45.015682,59.873451,14.38,16.88,18.38
2015,1,4,0,offshore2,-44.971313,59.883549,-45.015682,59.873451,15.42,18.14,19.71
2015,1,4,1,offshore2,-44.971313,59.883549,-45.015682,59.873451,15.91,18.70,20.19
2015,1,4,2,offshore2,-44.971313,59.883549,-45.015682,59.873451,15.38,18.04,19.52
2015,1,4,3,offshore2,-44.971313,59.883549,-45.015682,59.873451,15.29,18.04,19.74
2015,1,4,4,offshore2,-44.971313,59.883549,-45.015682,59.873451,15.54,18.64,20.64
2015,1,4,5,offshore2,-44.971313,59.883549,-45.015682,59.873451,9.95,11.40,12.38
2015,1,4,6,offshore2,-44.971313,59.883549,-45.015682,59.873451,9.75,10.87,11.47
2015,1,4,7,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.92,10.06,10.69
2015,1,4,8,offshore2,-44.971313,59.883549,-45.015682,59.873451,4.77,5.53,6.32
2015,1,4,9,offshore2,-44.971313,59.883549,-45.015682,59.873451,3.22,3.48,3.54
2015,1,4,10,offshore2,-44.971313,59.883549,-45.015682,59.873451,3.66,3.79,2.90
2015,1,4,11,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.00,5.63,4.93
2015,1,4,12,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.58,5.89,4.91
2015,1,4,13,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.00,7.00,7.72
2015,1,4,14,offshore2,-44.971313,59.883549,-45.015682,59.873451,6.63,7.54,7.99
2015,1,4,15,offshore2,-44.971313,59.883549,-45.015682,59.873451,5.73,6.50,6.91
2015,1,4,16,offshore2,-44.971313,59.883549,-45.015682,59.873451,7.46,8.52,9.06
2015,1,4,17,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.50,12.04,12.75
2015,1,4,18,offshore2,-44.971313,59.883549,-45.015682,59.873451,11.41,13.18,14.02
2015,1,4,19,offshore2,-44.971313,59.883549,-45.015682,59.873451,12.88,14.88,15.73
2015,1,4,20,offshore2,-44.971313,59.883549,-45.015682,59.873451,11.35,13.00,13.77
2015,1,4,21,offshore2,-44.971313,59.883549,-45.015682,59.873451,11.27,12.83,13.48
2015,1,4,22,offshore2,-44.971313,59.883549,-45.015682,59.873451,10.29,11.64,12.21
2015,1,4,23,offshore2,-44.971313,59.883549,-45.015682,59.873451,9.11,10.29,10.82
2015,1,5,0,offshore2,-44.971313,59.883549,-45.015682,59.873451,8.76,9.90,10.40
