YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,10m,50m,100m
2015,1,1,0,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,12.02,14.67,16.41
2015,1,1,1,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,9.98,12.20,13.68
2015,1,1,2,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,9.41,11.48,12.86
2015,1,1,3,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,9.27,11.21,12.49
2015,1,1,4,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,9.20,11.08,12.26
2015,1,1,5,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,10.27,12.30,13.45
2015,1,1,6,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,8.95,10.85,11.97
2015,1,1,7,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,7.03,8.70,9.80
2015,1,1,8,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,5.65,7.56,8.68
2015,1,1,9,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,4.43,6.70,7.96
2015,1,1,10,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,4.15,6.56,7.92
2015,1,1,11,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,3.61,5.99,7.37
2015,1,1,12,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,3.29,5.29,6.76
2015,1,1,13,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,2.96,4.75,6.62
2015,1,1,14,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,2.55,4.24,6.15
2015,1,1,15,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,1.77,3.47,5.34
2015,1,1,16,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,1.69,3.43,5.25
2015,1,1,17,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,1.89,3.64,5.91
2015,1,1,18,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,1.94,3.94,6.66
2015,1,1,19,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,2.07,4.33,7.55
2015,1,1,20,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,2.29,4.38,7.67
2015,1,1,21,AWS_0680_1,-44.062248,60.183308,-44.103203,60.177929,2.11,3.78,6.90
