YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,10m,50m,100m
YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,10m,50m,100m
2015,1,1,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.92,17.12,18.07
2015,1,1,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.17,16.13,16.95
2015,1,1,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.07,14.75,15.42
2015,1,1,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.01,13.48,14.07
2015,1,1,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,11.49,12.84,13.40
2015,1,1,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.32,11.51,12.00
2015,1,1,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.39,9.12,9.44
2015,1,1,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.49,8.05,8.29
2015,1,1,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.92,7.39,7.60
2015,1,1,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.46,6.83,7.01
2015,1,1,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.30,6.57,6.70
2015,1,1,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.00,6.20,6.30
2015,1,1,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.82,6.01,6.10
2015,1,1,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.02,6.26,6.38
2015,1,1,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.10,6.35,6.47
2015,1,1,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.11,6.39,6.50
2015,1,1,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.99,6.26,6.38
2015,1,1,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.94,6.21,6.30
2015,1,1,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.13,6.43,6.53
2015,1,1,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.27,6.60,6.71
2015,1,1,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.29,6.66,6.79
2015,1,1,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.59,5.88,5.99
2015,1,1,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.78,4.97,5.08
2015,1,1,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.17,4.33,4.44
2015,1,2,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.74,3.87,3.95
2015,1,2,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.63,3.73,3.79
2015,1,2,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.92,4.03,4.09
2015,1,2,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.49,4.66,4.77
2015,1,2,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.58,4.76,4.87
2015,1,2,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.10,4.24,4.33
2015,1,2,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.18,3.29,3.37
2015,1,2,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.82,1.92,2.01
2015,1,2,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.38,1.50,1.62
2015,1,2,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.66,1.68,1.62
2015,1,2,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.14,2.04,1.62
2015,1,2,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.79,1.34,1.01
2015,1,2,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,0.60,0.53,0.58
2015,1,2,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.02,1.03,1.39
2015,1,2,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.46,1.88,2.61
2015,1,2,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.25,5.68,5.98
2015,1,2,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.41,8.03,8.26
2015,1,2,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.65,4.86,4.98
2015,1,2,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.22,3.31,3.38
2015,1,2,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.47,1.55,1.67
2015,1,2,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.61,1.57,1.47
2015,1,2,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.93,3.16,2.89
2015,1,2,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.44,3.76,3.51
2015,1,2,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.92,4.34,3.93
2015,1,3,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.84,4.96,4.37
2015,1,3,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.53,5.58,4.56
2015,1,3,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.10,6.50,5.26
2015,1,3,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.09,8.02,6.73
2015,1,3,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.77,9.49,8.08
2015,1,3,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.19,10.34,9.30
2015,1,3,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.60,10.70,10.05
2015,1,3,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.12,11.29,11.23
2015,1,3,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.03,11.21,12.17
2015,1,3,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.21,10.08,11.68
2015,1,3,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.75,10.75,12.44
2015,1,3,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.74,11.62,13.06
2015,1,3,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.05,10.66,12.14
2015,1,3,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.28,10.93,12.49
2015,1,3,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.42,10.10,12.07
2015,1,3,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.69,10.54,12.86
2015,1,3,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.81,10.77,13.25
2015,1,3,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.77,9.71,12.21
2015,1,3,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.31,6.87,8.81
2015,1,3,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.58,6.26,7.07
2015,1,3,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.53,5.20,5.18
2015,1,3,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.33,4.33,4.23
2015,1,3,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.46,4.11,4.05
2015,1,3,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.07,4.38,4.13
2015,1,4,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.13,4.20,3.75
2015,1,4,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.44,2.82,2.92
2015,1,4,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.27,3.28,2.85
2015,1,4,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.07,4.13,3.92
2015,1,4,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.00,2.93,3.73
2015,1,4,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.15,0.47,1.45
2015,1,4,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.87,1.81,1.81
2015,1,4,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.65,2.74,2.39
2015,1,4,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.63,3.97,4.50
2015,1,4,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.83,4.70,5.09
2015,1,4,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.50,4.21,4.35
2015,1,4,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.57,2.64,2.69
2015,1,4,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.89,2.27,2.35
2015,1,4,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.03,3.84,3.98
2015,1,4,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.06,6.23,6.21
2015,1,4,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.14,7.62,7.58
2015,1,4,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.22,4.92,4.85
2015,1,4,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.42,3.08,3.21
2015,1,4,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.16,5.75,6.17
2015,1,4,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.18,7.99,8.45
2015,1,4,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.02,8.91,9.36
2015,1,4,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.51,9.47,9.89
2015,1,4,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.59,8.42,8.83
2015,1,4,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.85,7.53,7.88
2015,1,5,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.53,7.15,7.45
2015,1,5,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.89,7.52,7.81
2015,1,5,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.18,7.86,8.15
2015,1,5,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.70,7.38,7.73
2015,1,5,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.37,6.98,7.32
2015,1,5,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.06,6.61,6.92
2015,1,5,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.23,5.53,5.71
2015,1,5,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.58,5.94,6.08
2015,1,5,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.04,7.59,7.78
2015,1,5,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.22,7.84,8.09
2015,1,5,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.72,7.25,7.55
2015,1,5,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.31,7.93,8.26
2015,1,5,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.32,10.44,10.98
2015,1,5,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.86,12.27,12.93
2015,1,5,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,11.55,13.14,13.86
2015,1,5,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.27,13.95,14.70
