YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,100m,load_factor
YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,0.0,0.0
2015,1,3,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.17,0.9223510245007689
2015,1,3,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,11.68,0.8665321091992335
2015,1,3,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.44,0.9446536827119791
2015,1,3,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.06,0.9784495715402265
2015,1,3,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.14,0.919517398836812
2015,1,3,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.49,0.9482000618052189
2015,1,3,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.07,0.9126067026178554
2015,1,3,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.86,0.969699458052894
2015,1,3,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.25,0.9852830535648327
2015,1,3,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.21,0.9260130153926374
2015,1,3,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.81,0.4397763922841814
2015,1,3,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.07,0.22070507351804802
2015,1,3,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.18,0.07415186457045583
2015,1,3,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.23,0.03383410169179558
2015,1,3,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.05,0.02794015793171964
2015,1,3,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.13,0.030544128602045743
2015,1,4,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.75,0.018254950437977036
2015,1,4,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.92,0.0
2015,1,4,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.85,0.0
2015,1,4,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.92,0.02371463467986125
2015,1,4,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.73,0.017625729782225142
2015,1,4,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.45,0.002545215728383699
2015,1,4,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.81,0.001215075539164337
2015,1,4,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.39,0.0
2015,1,4,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.5,0.04319787841579496
2015,1,4,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.09,0.06919883877454171
2015,1,4,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.35,0.037883899483553876
2015,1,4,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.69,0.0
2015,1,4,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.35,0.0
2015,1,4,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.98,0.025665479930308262
2015,1,4,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.21,0.14500252046804882
2015,1,4,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.58,0.27687441353400793
2015,1,4,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.85,0.05737647616843884
2015,1,4,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.21,0.003600807776191346
2015,1,4,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.17,0.14191392622186555
2015,1,4,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.45,0.3887252305093229
2015,1,4,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.36,0.5225721448626078
