YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,RUNOFF
2015,1,1,0,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,1,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,2,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,3,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,4,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,5,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,6,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,7,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,8,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,9,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,10,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,11,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,12,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,13,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,14,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,15,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,16,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,17,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,18,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,19,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,20,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,21,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,22,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,1,23,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,0,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,1,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,2,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,3,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,4,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,5,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,6,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,7,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,8,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,9,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,10,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,11,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,12,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,13,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,14,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,15,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
2015,1,2,16,hydro1,-45.343079,61.385963,-45.343136,61.402657,0.00039
