YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,RUNOFF
2015,1,3,19,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,3,20,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,3,21,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,3,22,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,3,23,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,0,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,1,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,2,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,3,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,4,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,5,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,6,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,7,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,8,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,9,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,10,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,11,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,12,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,13,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,14,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,15,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,16,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,17,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,18,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,19,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,20,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,21,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,22,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,4,23,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,0,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,1,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,2,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,3,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,4,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,5,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,6,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,7,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,8,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,9,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,10,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,11,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,12,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,13,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,14,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,15,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,16,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,17,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,18,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,19,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,20,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,21,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,22,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,5,23,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,0,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,1,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,2,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,3,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,4,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,5,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,6,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,7,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,8,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,9,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,10,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,11,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,12,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,13,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,14,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,15,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,16,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,17,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,18,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,19,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,20,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,21,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,22,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,6,23,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,0,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,1,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,2,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,3,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,4,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,5,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,6,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,7,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,8,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,9,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,10,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,11,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,12,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,13,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,14,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,15,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,16,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,17,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,18,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,19,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,20,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,21,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,22,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
2015,1,7,23,hydro5,-48.001049,61.397591,-47.970020,61.390026,0.00033
