YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,RUNOFF
2015,1,1,0,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00090
2015,1,1,1,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,2,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,3,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,4,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,5,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,6,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,7,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,8,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,9,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,10,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,11,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,12,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,13,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,14,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,15,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,16,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,17,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,18,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,19,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,20,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,21,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,22,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,1,23,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,0,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,1,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,2,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,3,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,4,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,5,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,6,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,7,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,8,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,9,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,10,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,11,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,12,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,13,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,14,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,15,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,16,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,17,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,18,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,19,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,20,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,21,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,22,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,2,23,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,0,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,1,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,2,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,3,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,4,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,5,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,6,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,7,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,8,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,9,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,10,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,11,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,12,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,13,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,14,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,15,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,16,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,17,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,18,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,19,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,20,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,21,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,22,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,3,23,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,4,0,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,4,1,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,4,2,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,4,3,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,4,4,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,4,5,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
2015,1,4,6,hydro2,-45.436466,61.378052,-45.437775,61.358173,0.00091
